ObjectID,GlobalID,Pool ID,Date,Time,Observer,Is the pool dried up?,Is the pool underwater?,What type of pool is it?,Length,Width,Depth 1,Depth 2,Depth 3,Depth 4,Lip Height 1,Lip Height 2,Lip Height 3,Lip Height 4,CreationDate,Creator,EditDate,Editor,Date,Time,Average pool depth,Average lip height,x,y
2,eafdb05d-30d8-40df-9872-586c13d87f65,746,,,CRS ,no,no,CLASSIC,107,78,2,5,5.75,4.5,10,17,22,11,8/19/2021 12:10:35 PM,crstunkle_vcu_ces,8/19/2021 12:10:35 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,08:08,4.3125,15,-77.45349601,37.52680546
3,479c39a4-9fa9-4837-a3d8-9ba0a1b9e1be,749,,,CRS ,no,yes,CLASSIC,125,94,9,8,10,8,21,0,0,10,8/19/2021 12:13:07 PM,crstunkle_vcu_ces,8/19/2021 12:13:07 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,08:10,8.75,7.75,-77.4535098,37.52684806
4,eab826cf-8a80-48f7-8391-bd787006bf9d,752,,,CRS ,no,yes,CLASSIC,240,168,9,8,11,7,17,6,15,0,8/19/2021 12:16:00 PM,crstunkle_vcu_ces,8/19/2021 12:16:00 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,08:13,8.75,9.5,-77.45348674,37.52686898
5,45c9daec-2c78-4420-9719-c26281191274,286,,,MT,no,no,CLASSIC,92,87,59,79,94,68,8,2,7,14,8/19/2021 12:20:00 PM,thackerm2_vcu_ces,8/19/2021 12:20:00 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,08:15,75,7.75,-77.45526727,37.52659033
6,7d3bc8ae-1ba9-4de1-9c5f-c560a199e12e,745,,,CRS ,no,no,FISSURE,563,96,12,12,6,5,23,1,2,17,8/19/2021 12:20:23 PM,crstunkle_vcu_ces,8/19/2021 12:20:23 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,08:17,8.75,10.75,-77.45348793,37.52671994
7,bd9072d6-40af-44f4-a049-2274ed29b80a,627,,,MT,no,no,CLASSIC,107,94,54.5,46.5,35.5,49,2,32,45,38,8/19/2021 12:26:15 PM,thackerm2_vcu_ces,8/19/2021 12:26:15 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,08:20,46.375,29.25,-77.45527053,37.52661238
8,3c411c83-e2ea-48ae-abe6-44ed69d723c5,747,,,CRS ,no,no,CLASSIC,185,183,10,11,6,7,13,15,15,0,8/19/2021 12:27:20 PM,crstunkle_vcu_ces,8/19/2021 12:27:20 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,08:23,8.5,10.75,-77.45347961,37.52682318
9,d3cf084a-b127-4a21-8dd1-995b6d196de4,293,,,MT,no,no,"SHALLOW,CLASSIC",180,91,37,42.5,14,12.5,21,20.5,28,24,8/19/2021 12:32:25 PM,thackerm2_vcu_ces,8/19/2021 12:32:25 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,08:27,26.5,23.375,-77.45530179,37.5266366
10,f5b5203c-b5cf-40f0-a509-eaf15f3ba13c,748,,,CRS ,no,no,CLASSIC,217,173,14.5,16,15,13.25,15,0,23,17,8/19/2021 12:33:18 PM,crstunkle_vcu_ces,8/19/2021 12:33:18 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,08:31,14.6875,13.75,-77.45349791,37.52683279
11,386cf13e-1fae-4a1b-835d-3bd1a7274191,730,,,CRS ,no,no,SHALLOW,153,94,7,6,6,5.75,1,21,3,3,8/19/2021 12:41:47 PM,crstunkle_vcu_ces,8/19/2021 12:41:47 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,08:39,6.1875,7,-77.45397403,37.52651992
