"","cond((Int))","zi((Int))","disp((Int))","cond(Days_Between_Z)","cond(drgn_presence)","cond(MaxTemp_Z)","cond(Days_Between_Z:drgn_presence)","cond(Days_Between_Z:MaxTemp_Z)","cond(drgn_presence:MaxTemp_Z)","cond(Days_Between_Z:drgn_presence:MaxTemp_Z)","zi(drgn_presence)","df","logLik","AICc","delta","weight"
"167",3.97375362246194,-0.254678177994887,"+",NA,"+",0.471169683218885,NA,NA,"+",NA,"+",9,-1056.41806456013,2131.38324158226,0,0.339185999989997
"168",3.97613579681872,-0.25469400698302,"+",0.136233507718655,"+",0.510116456961348,NA,NA,"+",NA,"+",10,-1056.09851216504,2132.86775603741,1.48451445514638,0.161465484552142
"176",3.99344612203618,-0.254649517279104,"+",0.060529127696103,"+",0.490932452559164,"+",NA,"+",NA,"+",11,-1055.29188783569,2133.39111512091,2.00787353865371,0.124289293459009
"135",3.97690196645221,-0.254671084022413,"+",NA,"+",0.569560629323285,NA,NA,NA,NA,"+",8,-1058.71101318124,2133.85838999885,2.47514841658995,0.0983934681392861
"184",4.00340749002254,-0.254662759199473,"+",0.174778634789807,"+",0.517196160982507,NA,0.0654648567038822,"+",NA,"+",11,-1055.98706496303,2134.78146937561,3.39822779334645,0.0620186243562134
"136",3.97645284957822,-0.254674899617467,"+",0.144286366953969,"+",0.609696848204926,NA,NA,NA,NA,"+",9,-1058.38678210147,2135.32067666496,3.93743508269654,0.0473625147656682
"192",3.99941094797218,-0.254660099857312,"+",0.0690099287402135,"+",0.491135060641281,"+",0.0162697829158655,"+",NA,"+",12,-1055.28367841078,2135.52441203628,4.14117045402099,0.042775409900366
"256",3.99188500875942,-0.254672821611048,"+",0.0720954826695256,"+",0.481281779958964,"+",0.0368507489928832,"+","+","+",13,-1054.77123661161,2136.66247322321,5.27923164095546,0.0242140443283269
"152",4.02887046312844,-0.254669670365765,"+",0.234899033093097,"+",0.619465073912031,NA,0.125263797851186,NA,NA,"+",10,-1058.01055185734,2136.691835422,5.30859383974075,0.0238611522966903
"144",3.97862437517122,-0.254680087850321,"+",0.0984814433409109,"+",0.59154011028654,"+",NA,NA,NA,"+",10,-1058.12918842774,2136.92910856281,5.54586698054618,0.0211918174785131
