Pool_ID,JulianDate,mosq_a,mosq_b,mosq_c,mosq_d,dfly_a,dfly_b,dfly_c,dfly_d,Area_Z,Depth_Z,Volume_Z,Temp_Z,Shade_Z,DistRC_Z
1,223,1,NA,NA,NA,0,NA,NA,NA,-0.563532013,-0.629776341,-0.543528744,-0.310916345,2.353818642,2.598600802
1,139,1,NA,NA,NA,0,NA,NA,NA,-0.563532013,-0.629776341,-0.543528744,-0.310916345,2.353818642,2.598600802
1,172,1,NA,NA,NA,0,NA,NA,NA,-0.563532013,-0.629776341,-0.543528744,-0.310916345,2.353818642,2.598600802
10,223,0,NA,NA,NA,0,NA,NA,NA,-0.477616322,-0.521410349,-0.505538539,1.312424872,-0.476932253,0.433188485
10,139,0,NA,NA,NA,0,NA,NA,NA,-0.477616322,-0.521410349,-0.505538539,1.312424872,-0.476932253,0.433188485
10,172,1,NA,NA,NA,0,NA,NA,NA,-0.477616322,-0.521410349,-0.505538539,1.312424872,-0.476932253,0.433188485
103,172,0,NA,NA,NA,0,NA,NA,NA,-0.473899187,-0.358861362,-0.48670933,0.502756919,-0.476932253,-0.353806811
103,223,0,NA,NA,NA,0,NA,NA,NA,-0.473899187,-0.358861362,-0.48670933,0.502756919,-0.476932253,-0.353806811
103,139,1,NA,NA,NA,0,NA,NA,NA,-0.473899187,-0.358861362,-0.48670933,0.502756919,-0.476932253,-0.353806811
104,139,1,NA,NA,NA,0,NA,NA,NA,-0.539863009,-0.672757324,-0.528634536,0.611009801,-0.197844136,-0.310594248
104,223,1,NA,NA,NA,0,NA,NA,NA,-0.539863009,-0.672757324,-0.528634536,0.611009801,-0.197844136,-0.310594248
104,172,0,NA,NA,NA,0,NA,NA,NA,-0.539863009,-0.672757324,-0.528634536,0.611009801,-0.197844136,-0.310594248
105,172,1,NA,NA,NA,0,NA,NA,NA,-0.322949164,0.143350247,-0.30376466,0.11248302,-0.476932253,-0.320178015
105,223,0,NA,NA,NA,0,NA,NA,NA,-0.322949164,0.143350247,-0.30376466,0.11248302,-0.476932253,-0.320178015
105,139,1,NA,NA,NA,0,NA,NA,NA,-0.322949164,0.143350247,-0.30376466,0.11248302,-0.476932253,-0.320178015
107,139,1,NA,NA,NA,0,NA,NA,NA,-0.389623206,-0.864695623,-0.53186437,0.895846019,-0.476932253,-0.11735972
107,172,0,NA,NA,NA,0,NA,NA,NA,-0.389623206,-0.864695623,-0.53186437,0.895846019,-0.476932253,-0.11735972
107,223,0,NA,NA,NA,1,NA,NA,NA,-0.389623206,-0.864695623,-0.53186437,0.895846019,-0.476932253,-0.11735972
