"","Pool_ID","lat","long","DistRC_m","Depth_cm","SurfArea_cm2","Volume_cm3","Pct_Shaded","Notes","MaxRTemp_Z","Depth_Z","Pct_Shaded_Z","fit","se.fit"
"1","1",37.52519811,-77.45640303,"100.986416",12.08333333,"744.0338818","8915.839436",0.71,"-",0,-0.570205035870929,1.98018387374791,30.8802151771067,1.33563809860865
"2","2",37.52521135,-77.456398,"99.57518957",6.9,"4576.2006","31084.802",0.58,"-",0,-0.761114988072721,1.51883357759846,30.9809885730049,2.70186651589907
"3","3",37.52522095,-77.45638146,"99.19268909",23.6875,"3033.6005","71422.145",0.42,"-",0,-0.142806147304501,0.95101782849143,30.6207998270714,2.68169976228924
"4","4",37.52523002,-77.45637803,"98.2257691",16.41666667,"870.2211587","14125.77944",0.43,"-",0,-0.410601860048581,0.986506312810619,26.7788209045551,1.35455024904597
"5","5",37.52523329,-77.45638291,"97.57185322",17.09375,"1917.353465","32403.5396",0.58,"-",0,-0.385663863987477,1.51883357759846,30.2893912020372,2.6931113431923
"6","6",37.52528941,-77.45647507,"85.93776715",9.125,"925.98445","7897.964",0.06,"-",0,-0.679164895997708,-0.326567606999377,33.358391456229,1.30352760926705
"8","8",37.52532728,-77.45645595,"82.13582796",8.25,"848.23","6785.84",0.27,"-",0,-0.71139246029687,0.418690563703594,32.4364032707695,2.67584657996367
"10","10",37.5255603,-77.4566013,"45.64570306",15.0625,"1810.539","27149.2525",0,"-",0,-0.460477852539104,-0.539498512914512,35.0420221698671,1.31744245328578
"11","11",37.52555263,-77.45662282,"45.53671558",26,"1789.92241","46537.9828",0,"-",0,-0.0576332987995712,-0.539498512914512,31.2352311179227,1.3129883297209
"12","12",37.52537433,-77.4564894,"74.56374131",7.8125,"758.6946058","5038.721937",0.03,"-",0,-0.727506242446452,-0.433033059956945,33.6656857657159,2.6784968037647
"13","13",37.52520521,-77.45638018,"101.232877",22.75,"2399.195173","55227.43182",0.23,"-",0,-0.177335680482175,0.276736626426837,27.5110619189307,1.34704256746351
"14","14",37.52522482,-77.45637103,"99.22618612",17.9,"3235.05523","54963.22413",0.91,"-",0,-0.355968465454677,2.6899535601317,28.2228357577951,1.32230079962938
"15","15",37.52536445,-77.45656074,"72.2525817",11.625,"2865.1325","31516.4575",0,"-",0,-0.587086140857243,-0.539498512914512,37.2676566595607,0.994415048452971
"16","16",37.5253277,-77.45656179,"76.8139801",21.1996348,"1138.127495","26868.94311",0,"-",0,-0.234437959533814,-0.539498512914512,31.9003647389799,0.99141101525555
"18","18",37.52536918,-77.45664537,"67.44520974",21,"827.0242661","17367.50959",0,"-",0,-0.241790809080501,-0.539498512914512,32.6708396513418,1.30329939621724
"22","22",37.52551164,-77.45677258,"43.22774168",14.25,"725.7079","10159.91",0,"-",0,-0.490403447959755,-0.539498512914512,35.9897242659521,0.825369851319922
"23","23",37.52574749,-77.45662479,"21.59512379",14.75,"1148.252115","16936.71869",0,"-",0,-0.471987696931662,-0.539498512914512,38.0454486072123,1.01239715073488
"24","24",37.52579633,-77.45660976,"17.05037605",9.75,"678.71094","6617.432",0,"-",0,-0.656145207212591,-0.539498512914512,39.4926978014513,1.37623136470813
"25","25",37.52581622,-77.45655845,"18.17108161",15.75,"2097.013096","33027.95627",0,"-",0,-0.435156194875476,-0.539498512914512,33.240276863224,2.67574802459902
"26","26",37.52582803,-77.45654113,"17.97164681",17.875,"8340.928","141795.8",0.59,"-",0,-0.356889253006081,1.55432206191764,30.1872510283055,2.6943640074112
"28","28",37.52585763,-77.45654034,"14.67008979",39.04166602,"2572.214926","108102.8493",1,"-",0,0.422710850032148,3.0093499190044,26.8074874074423,2.9061573467309
"30","30",37.52581369,-77.45642692,"27.10394331",15.75,"1432.566","21488.49",0.01,"-",0,-0.435156194875476,-0.504010028595323,33.1909713696762,2.67529650326726
"31","31",37.52585458,-77.45635773,"27.01934332",5.625,"2643.650218","14870.53248",0.2,"-",0,-0.808075153194358,0.17027117346927,32.9717732097858,2.67620164234655
"32","32",37.52597424,-77.45638878,"11.42343927",32.70833333,"4847.21558","163650.9502",0,"-",0,0.189444694037904,-0.539498512914512,30.0192331966512,0.985023906198226
"33","33",37.52589122,-77.45656788,"9.055432204",14.875,"3699.2255","53485.615",0.92,"-",0,-0.467383759174639,2.72544204445088,28.7611642956095,2.74414833203768
"39","40",37.52599484,-77.45653859,"0.757384865",9,"1253.495469","11281.45922",0,"-",0,-0.683768833754731,-0.539498512914512,33.7294435368335,2.67931231810622
"40","41",37.5259972,-77.45650891,"0.92567306",10.65,"1153.592841","13168.73135",0,"-",0,-0.622996855362024,-0.539498512914512,33.6098694610623,2.67830561123628
"41","42",37.52607973,-77.45643671,"3.670865039",51.325,"13239.77049","670126.3621",0.18,"-",0,0.875124490773336,0.0992942048308917,28.6766654888454,0.995135447515125
"42","43",37.52608789,-77.4564114,"2.813587906",13.50625,"10816.1091","145029.873",0,"-",0,-0.517796877614043,-0.539498512914512,33.4028794889886,2.67676999990113
"44","45",37.52605128,-77.45627357,"10.75597683",95,"1624.203402","154299.3232",0,"-",0,2.48374034307725,-0.539498512914512,31.9874587951994,1.35173152153515
"45","46",37.52600845,-77.45630723,"13.13035751",21.83333333,"6879.564313","155366.1557",0,"-",0,-0.211097890823117,-0.539498512914512,30.517558090124,1.32296044791881
"46","47",37.52608648,-77.45620768,"11.45191077",29.4703125,"2798.913571","85782.56365",0,"-",0,0.0701835231797862,-0.539498512914512,35.0282238996689,1.32580478340722
"47","48",37.52609316,-77.45620782,"10.70869624",31.41057692,"2289.435588","73687.06775",0,"-",0,0.141646376154561,-0.539498512914512,32.1053683715556,2.6731441757221
"48","49",37.5260275,-77.45653779,"4.404492574",76.3911091,"5452.314263","465191.494",0,"-",0,1.79834693963056,-0.539498512914512,28.8456680302706,2.70954249623707
"49","50",37.52604542,-77.4565691,"8.492870864",36.8125,"4410.665033","162829.2699",0,"-",0,0.340607317182938,-0.539498512914512,29.7044656377693,0.720753918566253
"50","51",37.52606396,-77.45651344,"6.933817909",23.875,"927.73438","22149.658",0.03,"-",0,-0.135900240668966,-0.433033059956945,29.3097278364175,0.998650607756135
"51","52",37.52620182,-77.45657427,"26.54857949",5.75,"1606.925","8034.623",0.57,"-",0,-0.803471215437335,1.48334509327927,31.1091133118976,2.70275205225774
"53","54",37.52624456,-77.45656391,"30.59352242",8.125,"2596.526","20772.21",0.48,"-",0,-0.715996398053893,1.16394873440656,29.7616551059922,1.33347443999914
"54","55",37.52623919,-77.45653763,"28.18224454",22.25,"1801.703","39637.47",0.01,"-",0,-0.195751431510268,-0.504010028595323,32.7204401760958,2.67329953974225
"56","57",37.52623761,-77.45646715,"23.12692384",20.27940949,"2525.003272","57790.54185",0.18,"-",0,-0.268331239931234,0.0992942048308917,32.0310353031571,2.6708296405812
"57","58",37.5262834,-77.45655489,"34.23627495",19.57291667,"12002.78199","232210.9865",0.86,"-",0,-0.294352431683744,2.51251113853575,28.7491713579607,2.73506466805411
"59","60",37.52632209,-77.45658059,"40.26699702",27.26640625,"2373.129585","65153.6006",0.98,"-",0,-0.0109896543987296,2.93837295036602,27.6637298371079,2.78913059888976
"60","61",37.5266243,-77.45644559,"64.1455964",44.8921875,"5779.941433","261438.6587",1,"-",0,0.638194343952527,3.0093499190044,26.430146947062,2.98771745182432
"61","62",37.52661582,-77.45647236,"65.04583773",37.35789463,"1465.116777","55873.09819",0.9,"-",0,0.360695020619216,2.65446507581251,27.0464871986511,1.31764691726418
"62","63",37.52660466,-77.45646139,"63.05989341",35.24107143,"5738.932447","202222.8702",0.5,"-",0,0.282729242575834,1.23492570304494,30.3384312150726,0.841262486948436
"63","64",37.52659723,-77.45654802,"68.24370504",49.96875,"10430.87349","496198.0533",0.98,"-",0,0.825171766109634,2.93837295036602,26.1958794195458,3.05543542789784
"64","65",37.52656916,-77.4565392,"64.54886922",19.875,"49145.5045","980101.531",0.89,"-",0,-0.28322624889371,2.61897659149332,28.582420846641,2.7411158927956
"66","67",37.5264475,-77.45675386,"66.04968947",19.375,"1555.088","29546.68",1,"-",0,-0.301641999921803,3.0093499190044,28.0759262697729,2.76256908118755
"67","68",37.52642193,-77.4568002,"66.33426918",25.06899991,"2006.975519","51959.9947",0.55,"-",0,-0.0919234305287155,1.41236812464089,30.4535516463124,0.990111183552541
"68","69",37.52641706,-77.45677744,"64.28671901",14.75,"6936.637","97112.91",0.84,"-",0,-0.471987696931662,2.44153416989737,29.1643878575768,2.72962909359318
"69","70",37.52637806,-77.45668183,"53.42981389",24.8125,"3769.125971","91512.43521",0.34,"-",0,-0.101370707491292,0.667109953937917,30.9317030050593,2.6766892309544
"70","71",37.52638345,-77.45674169,"58.12886109",28.8125,"21939.3125","799766.15",0.95,"-",0,0.0459553007334515,2.83190749740845,27.708557434333,2.79052393259271
"71","72",37.52626653,-77.4563651,"19.23635501",31.875,"1075.210086","34272.32148",0,"-",0,0.158751775780521,-0.539498512914512,32.0717120318236,2.67318807428539
"72","73",37.52617713,-77.45619043,"2.686676847",24.52142857,"7625.991758","185009.9463",0.06,"-",0,-0.112091305463834,-0.326567606999377,33.5056849744619,0.984284145831313
"73","74",37.52631161,-77.45620655,"13.2072971",49.9333787,"4600.66678","219855.7724",0.18,"-",0,0.823868988000954,0.0992942048308917,29.9245913097802,2.68333332840362
