rep,b,h0,Eh,temp,num_survive
1,0.088337343,2.61E-07,0.223879889,20,147.3683605
1,0.088337343,2.61E-07,0.223879889,21,154.6582094
1,0.088337343,2.61E-07,0.223879889,22,161.0026954
1,0.088337343,2.61E-07,0.223879889,23,166.6037245
1,0.088337343,2.61E-07,0.223879889,24,171.6023958
1,0.088337343,2.61E-07,0.223879889,25,176.0790347
1,0.088337343,2.61E-07,0.223879889,26,179.9997674
1,0.088337343,2.61E-07,0.223879889,27,183.2830443
1,0.088337343,2.61E-07,0.223879889,28,186.7416152
1,0.088337343,2.61E-07,0.223879889,29,189.3776177
1,0.088337343,2.61E-07,0.223879889,30,192.1450453
1,0.088337343,2.61E-07,0.223879889,31,194.0520015
1,0.088337343,2.61E-07,0.223879889,32,196.0448041
1,0.088337343,2.61E-07,0.223879889,33,195.5366196
1,0.088337343,2.61E-07,0.223879889,34,191.1424211
1,0.088337343,2.61E-07,0.223879889,35,170.4765298
1,0.088337343,2.61E-07,0.223879889,36,114.8210887
2,0.08768175,1.85E-07,0.196707797,20,28.1278913
2,0.08768175,1.85E-07,0.196707797,21,32.641424
2,0.08768175,1.85E-07,0.196707797,22,36.75243443
2,0.08768175,1.85E-07,0.196707797,23,41.07555637
2,0.08768175,1.85E-07,0.196707797,24,44.6561776
2,0.08768175,1.85E-07,0.196707797,25,48.54636691
2,0.08768175,1.85E-07,0.196707797,26,51.96545307
2,0.08768175,1.85E-07,0.196707797,27,54.54959518
2,0.08768175,1.85E-07,0.196707797,28,57.91854399
2,0.08768175,1.85E-07,0.196707797,29,60.8596243
2,0.08768175,1.85E-07,0.196707797,30,62.8965337
2,0.08768175,1.85E-07,0.196707797,31,64.09597884
2,0.08768175,1.85E-07,0.196707797,32,67.0961855
2,0.08768175,1.85E-07,0.196707797,33,68.62943847
2,0.08768175,1.85E-07,0.196707797,34,66.87823189
2,0.08768175,1.85E-07,0.196707797,35,56.33817306
2,0.08768175,1.85E-07,0.196707797,36,34.14728015
3,0.100359111,1.55E-07,0.209198259,20,52.08004707
3,0.100359111,1.55E-07,0.209198259,21,58.21497814
3,0.100359111,1.55E-07,0.209198259,22,64.14062348
3,0.100359111,1.55E-07,0.209198259,23,69.24610101
3,0.100359111,1.55E-07,0.209198259,24,74.3790183
3,0.100359111,1.55E-07,0.209198259,25,78.57171611
3,0.100359111,1.55E-07,0.209198259,26,83.05935843
3,0.100359111,1.55E-07,0.209198259,27,86.23124579
3,0.100359111,1.55E-07,0.209198259,28,90.19512676
3,0.100359111,1.55E-07,0.209198259,29,93.30523309
3,0.100359111,1.55E-07,0.209198259,30,95.24340871
3,0.100359111,1.55E-07,0.209198259,31,98.62082222
3,0.100359111,1.55E-07,0.209198259,32,100.9316437
3,0.100359111,1.55E-07,0.209198259,33,101.2102159
3,0.100359111,1.55E-07,0.209198259,34,98.57761462
3,0.100359111,1.55E-07,0.209198259,35,87.83489866
3,0.100359111,1.55E-07,0.209198259,36,52.51147351
4,0.088906527,6.17E-07,0.169744888,20,37.79639251
4,0.088906527,6.17E-07,0.169744888,21,43.38739255
4,0.088906527,6.17E-07,0.169744888,22,48.8921082
4,0.088906527,6.17E-07,0.169744888,23,53.92079596
4,0.088906527,6.17E-07,0.169744888,24,58.87893746
4,0.088906527,6.17E-07,0.169744888,25,63.46995983
4,0.088906527,6.17E-07,0.169744888,26,67.25242009
4,0.088906527,6.17E-07,0.169744888,27,71.84193547
4,0.088906527,6.17E-07,0.169744888,28,75.38082052
4,0.088906527,6.17E-07,0.169744888,29,78.00410878
4,0.088906527,6.17E-07,0.169744888,30,82.14650856
4,0.088906527,6.17E-07,0.169744888,31,85.24587169
4,0.088906527,6.17E-07,0.169744888,32,87.16162304
4,0.088906527,6.17E-07,0.169744888,33,87.89623824
4,0.088906527,6.17E-07,0.169744888,34,87.81009513
4,0.088906527,6.17E-07,0.169744888,35,77.48399485
4,0.088906527,6.17E-07,0.169744888,36,46.80184463
5,0.100968638,1.45E-07,0.208740823,20,45.26568688
5,0.100968638,1.45E-07,0.208740823,21,51.09142342
5,0.100968638,1.45E-07,0.208740823,22,56.32911518
5,0.100968638,1.45E-07,0.208740823,23,61.61886688
5,0.100968638,1.45E-07,0.208740823,24,65.91141517
5,0.100968638,1.45E-07,0.208740823,25,70.61591857
5,0.100968638,1.45E-07,0.208740823,26,74.24949137
5,0.100968638,1.45E-07,0.208740823,27,77.95532321
5,0.100968638,1.45E-07,0.208740823,28,81.51042004
5,0.100968638,1.45E-07,0.208740823,29,83.88590736
5,0.100968638,1.45E-07,0.208740823,30,86.87350872
5,0.100968638,1.45E-07,0.208740823,31,89.81673654
5,0.100968638,1.45E-07,0.208740823,32,91.4221728
5,0.100968638,1.45E-07,0.208740823,33,91.16203654
5,0.100968638,1.45E-07,0.208740823,34,90.4876801
5,0.100968638,1.45E-07,0.208740823,35,79.60926166
5,0.100968638,1.45E-07,0.208740823,36,47.72252471
6,0.127226503,9.68E-08,0.179277019,20,0.007263926
6,0.127226503,9.68E-08,0.179277019,21,0.004766437
6,0.127226503,9.68E-08,0.179277019,22,0.002903134
6,0.127226503,9.68E-08,0.179277019,23,0.001682775
6,0.127226503,9.68E-08,0.179277019,24,0.000946591
6,0.127226503,9.68E-08,0.179277019,25,0.000525145
6,0.127226503,9.68E-08,0.179277019,26,0.000291476
6,0.127226503,9.68E-08,0.179277019,27,0.00016407
6,0.127226503,9.68E-08,0.179277019,28,9.49E-05
6,0.127226503,9.68E-08,0.179277019,29,5.72E-05
6,0.127226503,9.68E-08,0.179277019,30,3.65E-05
6,0.127226503,9.68E-08,0.179277019,31,2.49E-05
6,0.127226503,9.68E-08,0.179277019,32,1.85E-05
6,0.127226503,9.68E-08,0.179277019,33,1.49E-05
6,0.127226503,9.68E-08,0.179277019,34,1.27E-05
6,0.127226503,9.68E-08,0.179277019,35,9.92E-06
6,0.127226503,9.68E-08,0.179277019,36,4.65E-06
7,0.096953409,4.17E-07,0.183351061,20,49.54679655
7,0.096953409,4.17E-07,0.183351061,21,55.73334392
7,0.096953409,4.17E-07,0.183351061,22,61.88725885
7,0.096953409,4.17E-07,0.183351061,23,67.38293856
7,0.096953409,4.17E-07,0.183351061,24,72.64926469
7,0.096953409,4.17E-07,0.183351061,25,77.28075311
7,0.096953409,4.17E-07,0.183351061,26,81.98962848
7,0.096953409,4.17E-07,0.183351061,27,85.48249825
7,0.096953409,4.17E-07,0.183351061,28,89.8346581
7,0.096953409,4.17E-07,0.183351061,29,93.29715184
7,0.096953409,4.17E-07,0.183351061,30,95.64514909
7,0.096953409,4.17E-07,0.183351061,31,99.28985341
7,0.096953409,4.17E-07,0.183351061,32,102.0321397
7,0.096953409,4.17E-07,0.183351061,33,102.7798055
7,0.096953409,4.17E-07,0.183351061,34,100.1205585
7,0.096953409,4.17E-07,0.183351061,35,89.73128717
7,0.096953409,4.17E-07,0.183351061,36,53.79869418
8,0.0896641,1.27E-07,0.18918888,20,2.828954737
8,0.0896641,1.27E-07,0.18918888,21,3.437269004
8,0.0896641,1.27E-07,0.18918888,22,4.056117112
8,0.0896641,1.27E-07,0.18918888,23,4.61569908
8,0.0896641,1.27E-07,0.18918888,24,5.120685572
8,0.0896641,1.27E-07,0.18918888,25,5.728680781
8,0.0896641,1.27E-07,0.18918888,26,6.396099609
8,0.0896641,1.27E-07,0.18918888,27,6.922737813
8,0.0896641,1.27E-07,0.18918888,28,7.272465536
8,0.0896641,1.27E-07,0.18918888,29,7.4271805
8,0.0896641,1.27E-07,0.18918888,30,7.392567422
8,0.0896641,1.27E-07,0.18918888,31,7.225433163
8,0.0896641,1.27E-07,0.18918888,32,7.800625131
8,0.0896641,1.27E-07,0.18918888,33,8.179674425
8,0.0896641,1.27E-07,0.18918888,34,8.042904462
8,0.0896641,1.27E-07,0.18918888,35,6.387832065
8,0.0896641,1.27E-07,0.18918888,36,1.940906538
9,0.098108029,2.00E-07,0.167841348,20,0.278105543
9,0.098108029,2.00E-07,0.167841348,21,0.321289194
9,0.098108029,2.00E-07,0.167841348,22,0.360347882
9,0.098108029,2.00E-07,0.167841348,23,0.39497693
9,0.098108029,2.00E-07,0.167841348,24,0.421146647
9,0.098108029,2.00E-07,0.167841348,25,0.421880503
9,0.098108029,2.00E-07,0.167841348,26,0.396235944
9,0.098108029,2.00E-07,0.167841348,27,0.349147359
9,0.098108029,2.00E-07,0.167841348,28,0.290384953
9,0.098108029,2.00E-07,0.167841348,29,0.230902556
9,0.098108029,2.00E-07,0.167841348,30,0.178753292
9,0.098108029,2.00E-07,0.167841348,31,0.137346929
9,0.098108029,2.00E-07,0.167841348,32,0.106259763
9,0.098108029,2.00E-07,0.167841348,33,0.082576342
9,0.098108029,2.00E-07,0.167841348,34,0.061025064
9,0.098108029,2.00E-07,0.167841348,35,0.034701401
9,0.098108029,2.00E-07,0.167841348,36,0.008614781
10,0.091487987,2.33E-07,0.165485079,20,0.44872416
10,0.091487987,2.33E-07,0.165485079,21,0.525511482
10,0.091487987,2.33E-07,0.165485079,22,0.597026201
10,0.091487987,2.33E-07,0.165485079,23,0.662695233
10,0.091487987,2.33E-07,0.165485079,24,0.720026659
10,0.091487987,2.33E-07,0.165485079,25,0.79588185
10,0.091487987,2.33E-07,0.165485079,26,0.840427139
10,0.091487987,2.33E-07,0.165485079,27,0.847053048
10,0.091487987,2.33E-07,0.165485079,28,0.814552292
10,0.091487987,2.33E-07,0.165485079,29,0.748464445
10,0.091487987,2.33E-07,0.165485079,30,0.660337519
10,0.091487987,2.33E-07,0.165485079,31,0.564221108
10,0.091487987,2.33E-07,0.165485079,32,0.471223649
10,0.091487987,2.33E-07,0.165485079,33,0.38357611
10,0.091487987,2.33E-07,0.165485079,34,0.288118618
10,0.091487987,2.33E-07,0.165485079,35,0.159970714
10,0.091487987,2.33E-07,0.165485079,36,0.035980316
11,0.082623522,7.08E-07,0.174754336,20,66.50388257
11,0.082623522,7.08E-07,0.174754336,21,73.7716114
11,0.082623522,7.08E-07,0.174754336,22,80.62442543
11,0.082623522,7.08E-07,0.174754336,23,86.83131172
11,0.082623522,7.08E-07,0.174754336,24,92.41972576
11,0.082623522,7.08E-07,0.174754336,25,97.87777965
11,0.082623522,7.08E-07,0.174754336,26,102.4111509
11,0.082623522,7.08E-07,0.174754336,27,107.1036819
11,0.082623522,7.08E-07,0.174754336,28,111.0868958
11,0.082623522,7.08E-07,0.174754336,29,114.4581621
11,0.082623522,7.08E-07,0.174754336,30,118.5072637
11,0.082623522,7.08E-07,0.174754336,31,121.2586749
11,0.082623522,7.08E-07,0.174754336,32,123.3199616
11,0.082623522,7.08E-07,0.174754336,33,125.6070941
11,0.082623522,7.08E-07,0.174754336,34,123.0829579
11,0.082623522,7.08E-07,0.174754336,35,108.2456751
11,0.082623522,7.08E-07,0.174754336,36,69.67059351
12,0.104316562,1.87E-07,0.228000094,20,134.338121
12,0.104316562,1.87E-07,0.228000094,21,141.8068038
12,0.104316562,1.87E-07,0.228000094,22,148.3380739
12,0.104316562,1.87E-07,0.228000094,23,154.1030524
