PoolID,lat,long,X,Y,dist
1,37.52519811,-77.45640303,-8622407.344,4512567.667,100.986416
2,37.52521135,-77.456398,-8622406.784,4512569.524,99.57518957
3,37.52522095,-77.45638146,-8622404.943,4512570.873,99.19268909
4,37.52523002,-77.45637803,-8622404.561,4512572.145,98.2257691
5,37.52523329,-77.45638291,-8622405.104,4512572.604,97.57185322
6,37.52528941,-77.45647507,-8622415.364,4512580.482,85.93776715
7,37.52531939,-77.45649374,-8622417.442,4512584.689,81.24511019
8,37.52532728,-77.45645595,-8622413.235,4512585.797,82.13582796
9,37.52538003,-77.45641617,-8622408.807,4512593.202,77.55864792
10,37.5255603,-77.4566013,-8622429.415,4512618.504,45.64570306
11,37.52555263,-77.45662282,-8622431.811,4512617.428,45.53671558
12,37.52537433,-77.4564894,-8622416.959,4512592.401,74.56374131
13,37.52520521,-77.45638018,-8622404.801,4512568.663,101.232877
14,37.52522482,-77.45637103,-8622403.782,4512571.416,99.22618612
15,37.52536445,-77.45656074,-8622424.9,4512591.014,72.2525817
16,37.5253277,-77.45656179,-8622425.017,4512585.856,76.8139801
17,37.52533994,-77.45659913,-8622429.174,4512587.575,73.41761474
18,37.52536918,-77.45664537,-8622434.322,4512591.678,67.44520974
19,37.52536988,-77.45663597,-8622433.275,4512591.776,67.82552075
20,37.525,-77.457,-8622467.005,4512583.404,60.22917573
21,37.52537837,-77.45712197,-8622487.376,4512592.969,42.56440952
22,37.52551164,-77.45677258,-8622448.483,4512611.674,43.22774168
23,37.52574749,-77.45662479,-8622432.03,4512644.779,21.59512379
24,37.52579633,-77.45660976,-8622430.358,4512651.635,17.05037605
25,37.52581622,-77.45655845,-8622424.645,4512654.426,18.17108161
26,37.52582803,-77.45654113,-8622422.717,4512656.084,17.97164681
27,37.526,-77.457,-8622422.022,4512658.607,16.34595123
28,37.52585763,-77.45654034,-8622422.63,4512660.239,14.67008979
29,37.52583093,-77.45647077,-8622414.885,4512656.491,22.26793602
30,37.52581369,-77.45642692,-8622410.003,4512654.071,27.10394331
31,37.52585458,-77.45635773,-8622402.302,4512659.811,27.01934332
32,37.52597424,-77.45638878,-8622405.758,4512676.607,11.42343927
33,37.52589122,-77.45656788,-8622425.695,4512664.953,9.055432204
34,37.52589244,-77.45655304,-8622424.043,4512665.124,9.892377827
35,37.52596534,-77.45660758,-8622430.114,4512675.358,1.950896477
37,37.52595131,-77.45654449,-8622423.091,4512673.387,3.786465355
38,37.52595355,-77.45655147,-8622423.868,4512673.702,3.073452077
39,37.52595617,-77.45656161,-8622424.997,4512674.07,2.10997791
40,37.52599484,-77.45653859,-8622422.434,4512679.498,0.757384865
41,37.5259972,-77.45650891,-8622419.131,4512679.83,0.92567306
