Date,Time,RiverTemp_C
7/21/2021,6:30:00,27.9
7/21/2021,6:45:00,27.9
7/21/2021,7:00:00,27.9
7/21/2021,7:15:00,27.9
7/21/2021,7:30:00,27.8
7/21/2021,7:45:00,27.8
7/21/2021,8:00:00,27.8
7/21/2021,8:15:00,27.8
7/21/2021,8:30:00,27.8
7/21/2021,8:45:00,27.8
7/21/2021,9:00:00,27.8
7/21/2021,9:15:00,27.9
7/21/2021,9:30:00,27.9
7/21/2021,9:45:00,27.9
7/21/2021,10:00:00,28
7/21/2021,10:15:00,28
7/21/2021,10:30:00,28.1
7/21/2021,10:45:00,28.2
7/21/2021,11:00:00,28.3
7/21/2021,11:15:00,28.4
7/21/2021,11:30:00,28.5
7/21/2021,11:45:00,28.6
7/21/2021,12:00:00,28.7
7/21/2021,12:15:00,28.8
7/21/2021,12:30:00,28.9
7/21/2021,12:45:00,29
7/21/2021,13:00:00,29.1
7/21/2021,13:15:00,29.2
7/21/2021,13:30:00,29.3
7/21/2021,13:45:00,29.4
7/21/2021,14:00:00,29.5
7/21/2021,14:15:00,29.6
7/21/2021,14:30:00,29.7
6/24/2021,6:30:00,24.1
6/24/2021,6:45:00,24
6/24/2021,7:00:00,24
6/24/2021,7:15:00,24
6/24/2021,7:30:00,24
6/24/2021,7:45:00,23.9
6/24/2021,8:00:00,23.9
6/24/2021,8:15:00,23.9
6/24/2021,8:30:00,23.9
6/24/2021,8:45:00,23.9
6/24/2021,9:00:00,23.9
6/24/2021,9:15:00,23.9
6/24/2021,9:30:00,23.9
6/24/2021,9:45:00,23.9
6/24/2021,10:00:00,23.9
6/24/2021,10:15:00,24
6/24/2021,10:30:00,24
6/24/2021,10:45:00,24.1
6/24/2021,11:00:00,24.1
6/24/2021,11:15:00,24.2
6/24/2021,11:30:00,24.2
6/24/2021,11:45:00,24.3
6/24/2021,12:00:00,24.3
6/24/2021,12:15:00,24.4
6/24/2021,12:30:00,24.5
6/24/2021,12:45:00,24.6
6/24/2021,13:00:00,24.7
6/24/2021,13:15:00,24.8
6/24/2021,13:30:00,24.9
6/24/2021,13:45:00,24.9
6/24/2021,14:00:00,25
6/24/2021,14:15:00,25.1
6/24/2021,14:30:00,25.2
6/8/2021,6:30:00,27
6/8/2021,6:45:00,27
6/8/2021,7:00:00,27
6/8/2021,7:15:00,26.9
6/8/2021,7:30:00,26.9
6/8/2021,7:45:00,26.9
6/8/2021,8:00:00,26.9
6/8/2021,8:15:00,26.9
6/8/2021,8:30:00,26.9
6/8/2021,8:45:00,26.9
6/8/2021,9:00:00,26.9
6/8/2021,9:15:00,26.9
6/8/2021,9:30:00,26.9
6/8/2021,9:45:00,26.9
6/8/2021,10:00:00,26.9
6/8/2021,10:15:00,26.9
6/8/2021,10:30:00,26.9
6/8/2021,10:45:00,27
6/8/2021,11:00:00,27
6/8/2021,11:15:00,27
6/8/2021,11:30:00,27.1
6/8/2021,11:45:00,27.2
6/8/2021,12:00:00,27.3
6/8/2021,12:15:00,27.3
6/8/2021,12:30:00,27.4
6/8/2021,12:45:00,27.5
6/8/2021,13:00:00,27.6
6/8/2021,13:15:00,27.7
6/8/2021,13:30:00,27.8
6/8/2021,13:45:00,27.9
6/8/2021,14:00:00,28.1
6/8/2021,14:15:00,28.2
6/8/2021,14:30:00,28.3
5/20/2021,6:30:00,20.4
5/20/2021,6:45:00,20.4
5/20/2021,7:00:00,20.3
5/20/2021,7:15:00,20.3
5/20/2021,7:30:00,20.3
5/20/2021,7:45:00,20.3
5/20/2021,8:00:00,20.3
5/20/2021,8:15:00,20.3
5/20/2021,8:30:00,20.3
5/20/2021,8:45:00,20.3
5/20/2021,9:00:00,20.3
5/20/2021,9:15:00,20.4
5/20/2021,9:30:00,20.4
5/20/2021,9:45:00,20.4
5/20/2021,10:00:00,20.4
5/20/2021,10:15:00,20.5
5/20/2021,10:30:00,20.5
5/20/2021,10:45:00,20.6
5/20/2021,11:00:00,20.7
5/20/2021,11:15:00,20.8
5/20/2021,11:30:00,20.8
5/20/2021,11:45:00,20.9
5/20/2021,12:00:00,21
5/20/2021,12:15:00,21.1
5/20/2021,12:30:00,21.1
5/20/2021,12:45:00,21.2
5/20/2021,13:00:00,21.3
5/20/2021,13:15:00,21.4
5/20/2021,13:30:00,21.5
5/20/2021,13:45:00,21.6
5/20/2021,14:00:00,21.7
5/20/2021,14:15:00,21.8
5/20/2021,14:30:00,21.9
