Pool_ID,slab
1,17
2,17
3,17
4,17
5,17
6,18
7,18
8,18
9,18
10,19
11,19
12,18
13,17
14,17
15,18
16,18
17,18
18,18
19,18
20,19
21,19
22,19
23,20
24,20
25,20
26,20
27,20
28,20
29,20
30,20
31,20
32,21
33,20
34,20
35,20
37,20
38,20
39,20
40,21
41,21
42,22
43,22
44,22
45,21
46,21
47,21
48,21
49,22
50,22
51,22
52,23
53,23
54,23
55,23
56,23
57,23
58,25
59,25
60,25
61,25
62,25
63,25
64,25
65,25
66,25
67,25
68,25
69,25
70,25
71,25
72,23
73,22
74,16
75,16
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,16
85,16
86,16
87,16
88,16
89,16
90,16
91,16
92,16
93,16
94,16
95,16
96,16
97,16
98,16
99,16
100,16
101,16
102,16
103,16
104,16
105,16
106,16
107,16
108,16
109,16
110,16
111,16
112,16
113,16
114,14
115,14
116,14
117,14
118,14
119,14
120,14
121,14
122,14
123,14
124,14
125,14
126,14
127,14
128,14
129,14
130,14
131,14
132,14
133,14
134,14
135,14
136,14
137,14
138,14
139,14
140,14
141,14
142,14
143,14
144,12
145,12
146,12
147,13
148,13
149,13
150,13
151,10
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
175,10
176,10
177,10
178,10
179,10
180,11
181,11
182,12
183,12
184,12
185,12
186,11
187,11
188,11
189,11
190,11
191,11
192,11
193,11
194,11
195,11
196,11
197,11
198,11
199,11
200,11
201,11
202,11
203,11
204,11
205,11
206,11
207,11
208,11
209,11
210,11
211,11
212,11
213,11
214,11
215,11
216,11
217,11
218,11
219,11
220,11
221,11
222,11
223,11
224,11
225,11
226,11
227,11
228,11
229,11
230,11
231,11
232,11
233,11
234,11
235,11
236,11
237,11
238,11
239,11
240,11
241,11
242,11
243,11
244,11
245,11
246,11
247,11
248,11
249,11
250,11
251,11
252,11
253,12
254,12
256,12
257,12
258,12
259,12
260,12
261,12
262,12
263,12
264,11
265,11
266,12
267,12
268,15
269,15
270,15
271,15
272,15
273,15
274,15
275,15
276,15
277,15
278,15
279,15
280,15
281,15
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,15
297,15
298,15
299,15
300,15
301,15
302,15
303,15
304,9
305,9
306,9
307,9
308,9
309,9
310,8
311,8
312,8
313,8
314,8
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,7
324,7
325,7
326,7
327,7
328,5
329,5
330,5
331,5
332,5
333,5
334,5
335,5
