"","cond((Int))","disp((Int))","cond(Depth_Z)","cond(MaxRTemp_Z)","cond(Pct_Shaded_Z)","cond(SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z)","cond(Depth_Z:SurfArea_Z)","cond(Pct_Shaded_Z:SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z:SurfArea_Z)","df","logLik","AICc","delta","weight"
"8",0.0948089796165349,"+",-0.029369673828621,-0.0189524151424878,-0.0120448311556821,NA,NA,NA,NA,NA,6,359.67951082373,-706.930450218888,0,0.23249722646063
"16",0.0947599631071632,"+",-0.0300958893694903,-0.0190032895623249,-0.0117136322305614,0.00481426524086795,NA,NA,NA,NA,7,360.566967438991,-706.559575903624,0.370874315264132,0.19314498763138
"48",0.0939984527663592,"+",-0.0304334672557211,-0.019164336907711,-0.011937459049854,0.00351332563755392,NA,0.0044244212433354,NA,NA,8,361.271581133716,-705.800894226194,1.12955599269401,0.132171497050216
"80",0.0952459265494123,"+",-0.0302423934358812,-0.0189497359543937,-0.0106894236491333,0.00643949449539893,NA,NA,0.00513120060117547,NA,8,360.822800537483,-704.903333033729,2.02711718515877,0.0843790968417391
"24",0.0945787037106926,"+",-0.0296972776112821,-0.0189365260831524,-0.012520425666792,NA,-0.00124288083448009,NA,NA,NA,7,359.713725754006,-704.853092533652,2.07735768523605,0.0822858740432598
"112",0.0945544052001216,"+",-0.0307170394166838,-0.0191199216111622,-0.010482069816863,0.00562703753111906,NA,0.00533137636712672,0.00751925855378021,NA,9,361.796519450736,-704.660396414425,2.27005380446315,0.0747277413632936
"32",0.0944939730924755,"+",-0.0304790296237974,-0.0189851258690579,-0.0122601587278975,0.00484811347204507,-0.00143465466105676,NA,NA,NA,8,360.613061061918,-704.483854082599,2.44659613628903,0.0684141878351935
"64",0.0939081759194055,"+",-0.0305754388134554,-0.0191547668218593,-0.0121439815468113,0.00354686535705716,-0.000551502043712246,0.00435480943150091,NA,NA,9,361.278272722283,-703.623902957519,3.30654726136879,0.0445051389741726
"96",0.0948560878596601,"+",-0.0310279151255761,-0.0189000544763451,-0.011483796171093,0.00693606900542944,-0.0027973167997572,NA,0.00648990258120346,NA,9,360.980939299758,-703.02923611247,3.90121410641848,0.0330582528302126
"128",0.0942723079190372,"+",-0.0313125326311913,-0.019076104696941,-0.0111040753683074,0.00603559850616816,-0.00216994668984764,0.00517622659113455,0.00850376886367448,NA,10,361.89197332233,-702.638113311327,4.29233690756109,0.0271862095249695
"256",0.0945189997378506,"+",-0.0338267322627675,-0.0191890647459132,-0.0106628617779326,0.00455394011174644,-0.00732673965237001,-0.00189829434748882,0.00660435643567454,-0.0163873497257926,11,362.813757997145,-702.24531704141,4.68513317747784,0.0223385013350614
"12",0.0946738406503088,"+",-0.0282137672477922,-0.0191648286843864,NA,0.00568252350777875,NA,NA,NA,NA,6,354.998535828997,-697.568500229422,9.36194998946598,0.00215524261809556
