"","cond((Int))","disp((Int))","cond(Depth_Z)","cond(MaxRTemp_Z)","cond(Pct_Shaded_Z)","cond(SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z)","cond(Depth_Z:SurfArea_Z)","cond(Pct_Shaded_Z:SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z:SurfArea_Z)","df","logLik","AICc","delta","weight"
"8",31.6374475847683,"+",-1.95078388523953,1.65233791648203,-1.38622689605833,NA,NA,NA,NA,NA,6,-492.718860244336,997.866291917244,0,0.321586601842359
"16",31.6383049731263,"+",-1.93917818281189,1.65309379780811,-1.39154645878577,-0.0779917503353043,NA,NA,NA,NA,7,-492.669259001583,999.912876977524,2.04658506027965,0.115581319291923
"24",31.6488429478957,"+",-1.93468054864794,1.65168921806772,-1.36279672794051,NA,0.0609921114179634,NA,NA,NA,7,-492.701105508345,999.976569991049,2.11027807380458,0.111958452046086
"48",31.5796347940329,"+",-1.96582586162992,1.64255129386454,-1.40904268114467,-0.176835769361478,NA,0.340805237514051,NA,NA,8,-491.777778060877,1000.29782416299,2.43153224574587,0.0953448913391322
"112",31.6339422603796,"+",-1.99333545283676,1.64700594173918,-1.26821315627929,0.0282040937096452,NA,0.428054989807475,0.72714370743472,NA,9,-490.724412562941,1000.38146761293,2.51517569568443,0.0914396349878172
"80",31.6894624338266,"+",-1.95447628699566,1.65842719902117,-1.28434878103938,0.092067202076167,NA,NA,0.536557577270084,NA,8,-492.071386553494,1000.88504114822,3.01874923098023,0.0710861313922659
"256",31.657415567125,"+",-2.23815920618765,1.63801264080759,-1.22614814799581,-0.115458220795293,-0.502559894233727,-0.257879659642543,0.54263838263783,-1.58762511286152,11,-488.856814659653,1001.09582827219,3.22953635494127,0.0639754040662592
"32",31.6503290611074,"+",-1.92197319253584,1.65242614528806,-1.36695885446795,-0.0795354328597728,0.0642819008740387,NA,NA,NA,8,-492.649551879246,1002.04137179973,4.17507988248406,0.0398740977646433
"64",31.602297033154,"+",-1.93050587025708,1.64056046256885,-1.35751586227482,-0.185146780410395,0.137064104287141,0.358104295518678,NA,NA,9,-491.689482820459,1002.31160812797,4.44531621072122,0.0348345172479438
"128",31.6336782292219,"+",-1.99387969780918,1.64703797184023,-1.26877996435771,0.0285564422863174,-0.00195448945129275,0.427930776527504,0.728023709760741,NA,10,-490.724395923044,1002.59462517942,4.72833326217733,0.0302380251838001
"96",31.6818267077447,"+",-1.96974070138446,1.65925316330358,-1.29982018935175,0.101729797485114,-0.0542438833820718,NA,0.562949582641369,NA,9,-492.058681234255,1003.05000495556,5.18371303831225,0.0240806919704692
"4",31.6265328154018,"+",-1.7101943506011,1.63062022819607,NA,NA,NA,NA,NA,NA,5,-508.34260302729,1026.9897745825,29.123482665255,1.52480405739135e-07
"12",31.6262688276751,"+",-1.71425180577721,1.63042265280268,NA,0.0253421581936411,NA,NA,NA,NA,6,-508.338297041369,1029.10516551131,31.2388735940646,5.2949606285576e-08
"44",31.5819602865471,"+",-1.73255020080183,1.62325027737756,NA,-0.0474234900410146,NA,0.256666658724913,NA,NA,7,-507.922885333208,1030.42012964077,32.5538377235301,2.74360700184394e-08
"7",31.6983168443831,"+",NA,1.62376054640001,-1.05913722549675,NA,NA,NA,NA,NA,5,-520.84948911549,1052.0035467589,54.1372548416533,5.64342067664616e-13
"15",31.7007453747726,"+",NA,1.62743478481607,-1.09564876912016,-0.389681857393678,NA,NA,NA,NA,6,-519.970823538987,1052.37021850655,54.5039265893014,4.69808280087531e-13
"79",31.7291467648733,"+",NA,1.62949347231515,-1.03571045336092,-0.297978389017376,NA,NA,0.293626564862821,NA,7,-519.844888742729,1054.26413645982,56.3978445425727,1.82247512168245e-13
"3",31.6848524073281,"+",NA,1.61350089168057,NA,NA,NA,NA,NA,NA,4,-527.73382131918,1063.66966284038,65.8033709231348,1.653017705413e-15
