"","cond((Int))","disp((Int))","cond(Depth_Z)","cond(MaxRTemp_Z)","cond(Pct_Shaded_Z)","cond(SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z)","cond(Depth_Z:SurfArea_Z)","cond(Pct_Shaded_Z:SurfArea_Z)","cond(Depth_Z:Pct_Shaded_Z:SurfArea_Z)","df","logLik","AICc","delta","weight"
"16",24.2930269622282,"+",0.523875271356122,2.72276046345201,-0.308113999028113,-0.337140351702087,NA,NA,NA,NA,6,-334.760412688611,681.949396805794,0,0.304166142171221
"32",24.3163910079921,"+",0.562344126466457,2.71963323815887,-0.255977966464762,-0.3393083834628,0.152982052133303,NA,NA,NA,7,-333.997784306306,682.569927586971,0.620530781177081,0.223030533102568
"48",24.3002644202789,"+",0.52500541534455,2.72585821339938,-0.306520943245401,-0.321044550883951,NA,-0.0440268250820218,NA,NA,7,-334.661360834839,683.897080644037,1.94768383824305,0.114862085630825
"80",24.2993466378126,"+",0.522078066928694,2.72401655202533,-0.293223685507487,-0.312984495904431,NA,NA,0.076233306541647,NA,7,-334.681841133606,683.938041241571,1.9886444357777,0.112533601216542
"64",24.3199550823935,"+",0.561758302037887,2.72158672263174,-0.256726909696151,-0.329619613901478,0.148000189515917,-0.0263069722626591,NA,NA,8,-333.962996634093,684.668261309423,2.71886450362967,0.0781118536489531
"96",24.3167307041378,"+",0.561890551770087,2.71976354196946,-0.255151086079793,-0.337280073367668,0.151766288193241,NA,0.00633895087639605,NA,8,-333.997284501709,684.736837044655,2.78744023886134,0.0754789608353058
"112",24.3037985761307,"+",0.523442326338939,2.72626674113231,-0.295494685096325,-0.305518657499663,NA,-0.0362930401639502,0.0579075721302631,NA,8,-334.619039131085,685.980346303408,4.03094949761442,0.0405323055323883
"128",24.3197306610942,"+",0.562192322262511,2.72151298151383,-0.257512973189937,-0.331298574364896,0.149057661517723,-0.0269797254445292,-0.00602801719545379,NA,9,-333.962569282457,686.857781051961,4.90838424616686,0.0261377844972654
"256",24.326943866159,"+",0.504450774230246,2.71730096677758,-0.2459495729203,-0.364693304491492,0.0268239468813705,-0.20116921344511,-0.0453149900278267,-0.407353211483714,10,-333.151779759419,687.449392852171,5.49999604637719,0.0194447293590263
"12",24.2930188899778,"+",0.568146926835903,2.72493668994396,NA,-0.318790058272473,NA,NA,NA,NA,5,-340.483482293415,691.271533114749,9.32213630895569,0.00287630337096252
"44",24.3024727923451,"+",0.569318438217303,2.72896371844616,NA,-0.297906716358723,NA,-0.0574647004239998,NA,NA,6,-340.323678951762,693.075929332095,11.1265325263018,0.00116684999875005
"8",24.2930203086787,"+",0.471202312233681,2.71955572566696,-0.288101762724871,NA,NA,NA,NA,NA,5,-341.54986501894,693.404298565798,11.4549017600044,0.00099017180789339
"24",24.314996213452,"+",0.50705221166863,2.71659550852311,-0.238960473620857,NA,0.143851058365998,NA,NA,NA,6,-340.919340307454,694.267252043479,12.3178552376856,0.000643165277587808
"4",24.2930199310872,"+",0.515430630612075,2.72176030652412,NA,NA,NA,NA,NA,NA,4,-346.270153460659,700.742327123338,18.7929303175445,2.52509604501679e-05
"15",24.2930220241435,"+",NA,2.72177109487243,-0.381838183139542,-0.256649979193902,NA,NA,NA,NA,5,-350.196640171146,710.697848870211,28.7484520644176,1.73965777384858e-07
"79",24.3039361505138,"+",NA,2.72393619480342,-0.355711028976777,-0.215443795354067,NA,NA,0.131531516414906,NA,6,-349.995070777989,712.41871298455,30.4693161787565,7.35839212803896e-08
"7",24.2930209192305,"+",NA,2.71934556871021,-0.360443843576374,NA,NA,NA,NA,NA,4,-353.715850917792,715.633722037605,33.6843252318112,1.47452650026166e-08
"11",24.2930198362223,"+",NA,2.72441204594112,NA,-0.22483018800085,NA,NA,NA,NA,4,-357.82902458163,723.86006936528,41.9106725594868,2.41170373961748e-10
"3",24.2930196996337,"+",NA,2.72214540824319,NA,NA,NA,NA,NA,NA,3,-360.363914401557,726.84843181819,44.8990350123963,5.41264190052855e-11
"2",24.2930186119268,"+",0.517463858462032,NA,NA,NA,NA,NA,NA,NA,3,-512.698589317618,1031.51778165031,349.568384844519,3.76097612611385e-77
"6",24.2930196640659,"+",0.469954585574737,NA,-0.309425519823117,NA,NA,NA,NA,NA,4,-511.660956847408,1031.52393389684,349.574537091043,3.74942467591536e-77
"14",24.2930174587211,"+",0.518461412260972,NA,-0.327867685446627,-0.31043698288062,NA,NA,NA,NA,5,-510.613520671331,1031.53160987058,349.582213064787,3.73506201271801e-77
"10",24.2930197854109,"+",0.565566914818104,NA,NA,-0.290884654823022,NA,NA,NA,NA,4,-511.785678460794,1031.77337712361,349.823980317813,3.30977693232467e-77
"30",24.3330473661293,"+",0.584355831761571,NA,-0.238532233595015,-0.314197610710457,0.262008837729,NA,NA,NA,6,-510.218335841547,1032.86524311167,350.915846305872,1.91735724126959e-77
"22",24.3317385116072,"+",0.533127826531595,NA,-0.222793104083111,NA,0.253441988119659,NA,NA,NA,5,-511.294897994749,1032.89436451742,350.944967711623,1.88964144260526e-77
"46",24.2611374784156,"+",0.51354125151246,NA,-0.334785315385176,-0.381457714100474,NA,0.193860219383222,NA,NA,6,-510.271368644261,1032.97130871709,351.0219119113,1.81832363748053e-77
"42",24.2634805858138,"+",0.561910417254556,NA,NA,-0.356268347697954,NA,0.179508001503839,NA,NA,5,-511.495410228474,1033.29538898487,351.345992179072,1.54631528361577e-77
"78",24.2818074700871,"+",0.521661414508841,NA,-0.354234643508993,-0.35327743752172,NA,NA,-0.135098943715548,NA,6,-510.569827463581,1033.56822635573,351.618829549939,1.34912492558871e-77
"62",24.3017747624403,"+",0.589220982676369,NA,-0.232192445735199,-0.39892047390589,0.304592855516765,0.229597705708257,NA,NA,7,-509.74680801825,1034.06797501086,352.118578205066,1.05083160077968e-77
"5",24.2930215463477,"+",NA,NA,-0.381575389740614,NA,NA,NA,NA,NA,3,-514.038790254603,1034.19818352428,352.248786718489,9.84597446336439e-78
"94",24.3179930588906,"+",0.604387786017723,NA,-0.274927069536594,-0.403637038929103,0.315363619360646,NA,-0.279645360047492,NA,7,-510.046740823188,1034.66784062074,352.718443814942,7.785275081723e-78
"110",24.2587460964339,"+",0.514583047163689,NA,-0.342200049310349,-0.391907913578224,NA,0.1886523089144,-0.0389732407756952,NA,7,-510.267970282846,1035.11029954005,353.160902734258,6.24015286603143e-78
"13",24.2930230507299,"+",NA,NA,-0.400819265851284,-0.230787357765346,NA,NA,NA,NA,4,-513.460736284456,1035.12349277093,353.174095965138,6.19912445040771e-78
"1",24.2930197009761,"+",NA,NA,NA,NA,NA,NA,NA,NA,2,-515.613253074507,1035.28650614901,353.33710934322,5.7138975577741e-78
"126",24.2947967142906,"+",0.601859072976786,NA,-0.256521278617922,-0.449591458967266,0.335559861068342,0.208735670178448,-0.182516917525578,NA,8,-509.677302867172,1036.09687377558,354.147476969787,3.81033671577772e-78
"9",24.29301896534,"+",NA,NA,NA,-0.197355784881542,NA,NA,NA,NA,3,-515.194452645159,1036.50950830539,354.5601114996,3.09999437561555e-78
"77",24.2864012103361,"+",NA,NA,-0.416683930298504,-0.255804211131136,NA,NA,-0.0798151051350245,NA,5,-513.445866462271,1037.19630145246,355.246904646667,2.19900222553353e-78
"254",24.3085839853178,"+",0.491957854563872,NA,-0.234532679331143,-0.5127420173889,0.102614320264613,-0.123178312517467,-0.256710007846572,-0.774545305216657,9,-509.158266027217,1037.24917454148,355.299777735688,2.14162990958892e-78
