Pool_ID,lat,long,DistRC_m,Depth_cm,SurfArea_cm2,Volume_cm3,Pct_Shaded,Notes
1,37.52519811,-77.45640303,100.986416,12.08333333,744.0338818,8915.839436,71,-
2,37.52521135,-77.456398,99.57518957,6.9,4576.2006,31084.802,58,-
3,37.52522095,-77.45638146,99.19268909,23.6875,3033.6005,71422.145,42,-
4,37.52523002,-77.45637803,98.2257691,16.41666667,870.2211587,14125.77944,43,-
5,37.52523329,-77.45638291,97.57185322,17.09375,1917.353465,32403.5396,58,-
6,37.52528941,-77.45647507,85.93776715,9.125,925.98445,7897.964,6,-
7,37.52531939,-77.45649374,81.24511019,-,-,-,18,-
8,37.52532728,-77.45645595,82.13582796,8.25,848.23,6785.84,27,-
9,37.52538003,-77.45641617,77.55864792,-,-,-,0,-
10,37.5255603,-77.4566013,45.64570306,15.0625,1810.539,27149.2525,0,-
11,37.52555263,-77.45662282,45.53671558,26,1789.92241,46537.9828,0,-
12,37.52537433,-77.4564894,74.56374131,7.8125,758.6946058,5038.721937,3,-
13,37.52520521,-77.45638018,101.232877,22.75,2399.195173,55227.43182,23,-
14,37.52522482,-77.45637103,99.22618612,17.9,3235.05523,54963.22413,91,-
15,37.52536445,-77.45656074,72.2525817,11.625,2865.1325,31516.4575,0,-
16,37.5253277,-77.45656179,76.8139801,21.1996348,1138.127495,26868.94311,0,-
17,37.52533994,-77.45659913,73.41761474,-,-,-,0,-
18,37.52536918,-77.45664537,67.44520974,21,827.0242661,17367.50959,0,-
19,37.52536988,-77.45663597,67.82552075,-,-,-,0,-
20,37.525,-77.457,60.22917573,-,-,-,16,-
21,37.52537837,-77.45712197,42.56440952,-,-,-,0,-
22,37.52551164,-77.45677258,43.22774168,14.25,725.7079,10159.91,0,-
23,37.52574749,-77.45662479,21.59512379,14.75,1148.252115,16936.71869,0,-
24,37.52579633,-77.45660976,17.05037605,9.75,678.71094,6617.432,0,-
25,37.52581622,-77.45655845,18.17108161,15.75,2097.013096,33027.95627,0,-
26,37.52582803,-77.45654113,17.97164681,17.875,8340.928,141795.8,59,-
27,37.526,-77.457,16.34595123,-,-,-,100,-
28,37.52585763,-77.45654034,14.67008979,39.04166602,2572.214926,108102.8493,100,-
29,37.52583093,-77.45647077,22.26793602,-,-,-,0,-
30,37.52581369,-77.45642692,27.10394331,15.75,1432.566,21488.49,1,-
31,37.52585458,-77.45635773,27.01934332,5.625,2643.650218,14870.53248,20,-
32,37.52597424,-77.45638878,11.42343927,32.70833333,4847.21558,163650.9502,0,-
33,37.52589122,-77.45656788,9.055432204,14.875,3699.2255,53485.615,92,-
34,37.52589244,-77.45655304,9.892377827,-,-,-,74,Channel feature
35,37.52596534,-77.45660758,1.950896477,-,-,-,0,Underwater below 4ft
37,37.52595131,-77.45654449,3.786465355,-,-,-,0,Underwater below 4ft
38,37.52595355,-77.45655147,3.073452077,-,-,-,0,Underwater below 4ft
39,37.52595617,-77.45656161,2.10997791,-,-,-,0,Underwater below 4ft
40,37.52599484,-77.45653859,0.757384865,9,1253.495469,11281.45922,0,-
41,37.5259972,-77.45650891,0.92567306,10.65,1153.592841,13168.73135,0,-
42,37.52607973,-77.45643671,3.670865039,51.325,13239.77049,670126.3621,18,-
43,37.52608789,-77.4564114,2.813587906,13.50625,10816.1091,145029.873,0,-
44,37.52608757,-77.45637042,0.059737968,-,-,-,1,-
45,37.52605128,-77.45627357,10.75597683,95,1624.203402,154299.3232,0,-
46,37.52600845,-77.45630723,13.13035751,21.83333333,6879.564313,155366.1557,0,-
47,37.52608648,-77.45620768,11.45191077,29.4703125,2798.913571,85782.56365,0,-
48,37.52609316,-77.45620782,10.70869624,31.41057692,2289.435588,73687.06775,0,-
