"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"4","MaxWTemp_C ~ Depth_Z * Pct_Shaded_Z + MaxRTemp_Z + (1 | Pool_ID)",7,999.97656999104,0,1,0.636366075447864,-492.70110550834,0.636366075447864
"1","MaxWTemp_C ~ Depth_Z * SurfArea_Z * Pct_Shaded_Z + MaxRTemp_Z + (1 | Pool_ID)",11,1001.09582827216,1.11925828112464,0.571420941406998,0.363632901911895,-488.856814659643,0.99999897735976
"8","MaxWTemp_C ~ Depth_Z + MaxRTemp_Z + (1 | Pool_ID)",5,1026.9897745825,27.0132045914595,1.36193742367637e-06,8.66690773310509e-07,-508.34260302729,0.999999844050533
"3","MaxWTemp_C ~ Depth_Z * SurfArea_Z + MaxRTemp_Z + (1 | Pool_ID)",7,1030.42012964077,30.4435596497299,2.45055817733944e-07,1.55945208997017e-07,-507.922885333205,0.999999999995742
"11","MaxWTemp_C ~ Pct_Shaded_Z + MaxRTemp_Z + (1 | Pool_ID)",5,1052.00354675893,52.0269767678872,5.04063835592752e-12,3.20769124831357e-12,-520.849489115504,0.99999999999895
"5","MaxWTemp_C ~ SurfArea_Z * Pct_Shaded_Z + MaxRTemp_Z + (1 | Pool_ID)",7,1054.26413645982,54.2875664687774,1.62781379017616e-12,1.03588547321432e-12,-519.844888742729,0.999999999999986
"15","MaxWTemp_C ~ MaxRTemp_Z + (1 | Pool_ID)",4,1063.66966284038,63.6930928493393,1.47645637751855e-14,9.39566750531451e-15,-527.73382131918,0.999999999999995
"10","MaxWTemp_C ~ SurfArea_Z + MaxRTemp_Z + (1 | Pool_ID)",5,1064.95784836248,64.9812783714392,7.75344460042484e-15,4.93402911157479e-15,-527.32663991728,1
"7","MaxWTemp_C ~ Depth_Z * Pct_Shaded_Z + (1 | Pool_ID)",6,1078.63986074414,78.6632907530986,8.28864327177944e-18,5.27461138964963e-18,-533.105644657784,1
"2","MaxWTemp_C ~ Depth_Z * SurfArea_Z * Pct_Shaded_Z + (1 | Pool_ID)",10,1079.1078532528,79.1312832617609,6.55934035993697e-18,4.17414168237987e-18,-528.981009959734,1
"12","MaxWTemp_C ~ Depth_Z + (1 | Pool_ID)",4,1098.11696867632,98.1403986852811,4.88745981473447e-22,3.11021362121172e-22,-544.95747423715,1
"6","MaxWTemp_C ~ Depth_Z * SurfArea_Z + (1 | Pool_ID)",6,1100.63685988283,100.660289891792,1.38642307065567e-22,8.82272608383528e-23,-544.10414422713,1
"14","MaxWTemp_C ~ Pct_Shaded_Z + (1 | Pool_ID)",4,1120.04371186584,120.067141874799,8.46742605982779e-27,5.38838269083759e-27,-555.920845831909,1
"9","MaxWTemp_C ~ SurfArea_Z * Pct_Shaded_Z + (1 | Pool_ID)",6,1123.0378878275,123.061317836462,1.89484794007136e-27,1.20581694719368e-27,-555.304658199465,1
"13","MaxWTemp_C ~ SurfArea_Z + (1 | Pool_ID)",4,1130.25236274179,130.275792750755,5.14009376464703e-29,3.27098129644247e-29,-561.025171269887,1
