Pool_ID,Date,MinWTemp_C,MaxWTemp_C,MeanWTemp_C,cvWTemp_C,sdWTemp_C,MaxATemp_C,MeanATemp_C,MaxRTemp_C
1,7/21/2021,25.39,32.73,27.65454545,0.080241518,2.219042714,33.9,27.8,29.9
4,5/20/2021,19.246,23.064,20.458,0.055503651,1.135493697,32.8,22.8,23.9
6,6/24/2021,19.52,33.33,25.60575758,0.203516685,5.211198897,26.1,19.4,26.1
10,7/21/2021,27.11,38.09,31.64454545,0.134424658,4.253807185,33.9,27.8,29.9
11,7/21/2021,27.67,32.9,29.69393939,0.06303257,1.871685302,33.9,27.8,29.9
13,5/20/2021,19.413,23.905,20.62234375,0.061797558,1.274410493,32.8,22.8,23.9
14,6/8/2021,26.195,28.555,26.97639394,0.02999296,0.809101892,32.8,27.8,29
15,5/20/2021,20.519,38.268,28.1509375,0.250193167,7.043172209,32.8,22.8,23.9
15,7/21/2021,25.57,38.52,31.21393939,0.159137574,4.967310602,33.9,27.8,29.9
16,6/8/2021,27.272,32.291,28.90093939,0.063200028,1.826540171,32.8,27.8,29
16,7/21/2021,27.32,35.09,30.28454545,0.090562861,2.742655067,33.9,27.8,29.9
18,6/24/2021,25.74,32.22,28.73666667,0.075735491,2.176385574,26.1,19.4,26.1
22,5/20/2021,15.78,35.05,28.20787879,0.198371544,5.595640467,32.8,22.8,23.9
22,6/8/2021,27.93,38.18,31.75121212,0.119396933,3.79099736,32.8,27.8,29
22,6/24/2021,22.01,35.69,29.4030303,0.153709485,4.519524646,26.1,19.4,26.1
23,6/8/2021,28.06,40.53,32.92112121,0.137872613,4.538921009,32.8,27.8,29
23,7/21/2021,27.54,41.44,34.78424242,0.145969677,5.077444627,33.9,27.8,29.9
24,5/20/2021,20.234,39.843,30.74166667,0.223489996,6.870454973,32.8,22.8,23.9
32,6/8/2021,28.655,31.166,29.41909091,0.030051088,0.884075695,32.8,27.8,29
32,6/24/2021,23.292,28.555,25.49772727,0.076425805,1.948684336,26.1,19.4,26.1
42,5/20/2021,20.519,25.902,22.91687879,0.07600783,1.741862218,32.8,22.8,23.9
42,6/8/2021,26.097,27.961,26.74993939,0.024855252,0.664876489,32.8,27.8,29
45,6/8/2021,27.075,32.086,28.97860606,0.061685254,1.787552673,32.8,27.8,29
46,5/20/2021,19.47,27.84,23.27454545,0.115014067,2.676900132,32.8,22.8,23.9
47,5/20/2021,21.473,33.639,27.71645455,0.160903374,4.459671065,32.8,22.8,23.9
50,5/20/2021,21.664,26.683,24.08112121,0.073599366,1.772355261,32.8,22.8,23.9
50,6/8/2021,26.85,29.6,27.85515152,0.035923231,1.000647044,32.8,27.8,29
50,6/24/2021,22.52,29.3,25.52545455,0.09119112,2.327694797,26.1,19.4,26.1
50,7/21/2021,27.32,31.66,29.16969697,0.050301647,1.46728381,33.9,27.8,29.9
51,6/8/2021,27.764,30.356,28.664,0.032312715,0.926211673,32.8,27.8,29
51,7/21/2021,27.58,30.84,28.7569697,0.040480796,1.164105034,33.9,27.8,29.9
54,5/20/2021,21.75,27.11,24.24363636,0.079773902,1.934009466,32.8,22.8,23.9
62,6/8/2021,26.12,26.77,26.38,0.009016988,0.237868136,32.8,27.8,29
63,5/20/2021,23.388,25.902,24.22430303,0.034378216,0.832788332,32.8,22.8,23.9
63,6/24/2021,23.016,27.727,24.50769697,0.066037906,1.618436987,26.1,19.4,26.1
63,7/21/2021,26.72,33.97,29.35727273,0.085056771,2.497034832,33.9,27.8,29.9
68,5/20/2021,21.79,27.67,23.86212121,0.085373374,2.037189789,32.8,22.8,23.9
68,6/24/2021,23.12,29.26,25.36212121,0.087179502,2.211057097,26.1,19.4,26.1
73,6/24/2021,21.28,31.96,25.83666667,0.148468968,3.835943224,26.1,19.4,26.1
73,7/21/2021,26.25,36.85,30.50181818,0.121913981,3.718598068,33.9,27.8,29.9
75,5/20/2021,22.43,29.64,25.54878788,0.099614478,2.545029172,32.8,22.8,23.9
75,6/8/2021,28.258,32.188,29.51872727,0.048182443,1.422284392,32.8,27.8,29
75,6/24/2021,24.02,32.17,27.57515152,0.099260503,2.7371234,26.1,19.4,26.1
78,5/20/2021,22.812,26,24.14351515,0.04466055,1.078262669,32.8,22.8,23.9
78,7/21/2021,28.754,35.115,31.33566667,0.070670107,2.214494929,33.9,27.8,29.9
80,6/8/2021,27.961,32.807,29.5470303,0.058051673,1.715254545,32.8,27.8,29
84,6/24/2021,23.81,28.27,25.82606061,0.058840067,1.519607144,26.1,19.4,26.1
91,5/20/2021,22.717,26.195,24.09212121,0.053519814,1.289405841,32.8,22.8,23.9
92,6/24/2021,22.05,33.72,27.58818182,0.148679836,4.101806351,26.1,19.4,26.1
92,7/21/2021,27.173,37.274,31.62163636,0.114010497,3.605198493,33.9,27.8,29.9
96,6/8/2021,27.41,30.63,28.37666667,0.038296254,1.086720027,32.8,27.8,29
108,6/8/2021,27.28,31.14,28.57515152,0.048518335,1.386418771,32.8,27.8,29
109,6/8/2021,29.652,34.691,31.03815152,0.053216922,1.651754883,32.8,27.8,29
110,6/24/2021,22.01,35,27.95030303,0.161266578,4.507449726,26.1,19.4,26.1
111,5/20/2021,20.805,36.511,28.71130303,0.198419814,5.696891408,32.8,22.8,23.9
113,5/20/2021,21.473,30.963,25.55933333,0.121846711,3.114320709,32.8,22.8,23.9
117,6/24/2021,21.855,28.06,24.80078788,0.090976262,2.256282988,26.1,19.4,26.1
120,7/21/2021,27.862,38.157,33.00481818,0.118885422,3.923791736,33.9,27.8,29.9
122,6/8/2021,27.961,28.754,28.24918182,0.010279616,0.290390734,32.8,27.8,29
130,5/20/2021,22.717,29.652,25.92336364,0.101609093,2.634049459,32.8,22.8,23.9
134,6/24/2021,22.142,32.291,26.66909091,0.133334312,3.55590489,26.1,19.4,26.1
