Pool_ID,a_mosq,b_mosq,c_mosq,d_mosq
6,0,0,0,-
18,1,1,1,-
22,1,1,1,-
47,1,1,-,-
49,1,1,1,-
50,0,0,0,-
63,0,0,0,-
68,0,0,0,-
69,1,1,1,-
71,0,0,-,-
78,0,0,-,-
98,1,1,-,-
134,1,1,1,-
140,0,0,0,-
141,1,1,-,-
151,1,1,1,-
152,0,0,1,0
165,0,0,0,-
167,0,1,1,1
168,0,0,0,0
169,0,0,0,1
170,0,0,0,0
173,0,1,1,-
175,0,1,1,1
193,1,1,1,1
197,0,0,0,0
203,0,0,0,-
207,1,0,-,-
208,1,1,1,1
209,1,1,-,-
218,0,0,0,0
224,1,1,-,-
225,0,0,0,0
233,0,0,1,1
241,0,0,0,-
280,0,1,1,1
281,1,1,1,1
288,1,0,-,-
291,0,0,0,0
307,1,1,0,1
316,0,0,-,-
316,1,1,1,1
318,0,0,0,0
323,0,0,0,0
325,1,1,1,-
329,1,1,1,0
332,0,0,0,0
335,0,1,1,0
337,1,1,1,1
350,0,0,0,0
351,0,0,0,0
353,0,0,0,0
354,1,0,0,1
356,0,0,0,-
359,1,1,1,1
362,0,0,0,0
362,0,0,0,0
373,1,1,1,1
375,1,1,1,1
379,1,1,1,-
382,1,1,1,-
383,0,0,0,-
389,0,0,-,-
432,1,0,-,-
451,0,0,0,0
453,0,1,1,-
463,0,0,1,-
490,0,0,0,-
504,0,0,0,-
511,0,0,0,-
541,1,1,-,-
558,0,0,0,0
638,0,0,0,0
654,0,1,1,1
666,0,0,-,-
666,0,0,1,0
679,0,0,0,0
680,0,1,1,1
694,0,0,0,0
717a,1,1,-,-
717b,0,0,0,0
727,1,1,1,-
